nolens,biggravlens,smallgravlens,200lens
1020,1020,1020,1020
990,1000,1000,1000
960,960,980,980
930,920,970,960
900,880,960,940
850,840,950,920
800,800,940,900
750,760,930,890
700,720,920,880
650,700,910,870
550,680,900,860
400,660,890,850
300,640,880,840
,630,870,830
,620,860,820
,610,850,800
,600,840,770
,590,820,740
,580,800,700
,570,770,650
,560,740,600
,550,700,500
,540,650,400
,530,550,
,520,450,
,510,,
,500,,
,480,,
,450,,
,420,,
,390,,
,350,,
,300,,
,250,,
,200,,
